Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Average Accuracy,Average Train Time,Average Test Time
ACSF1,0.94,0.82,0.86,0.86,0.86,0.93,0.86,0.84,0.77,0.82,0.82,0.88,0.87,0.75,0.83,0.81,0.88,0.88,0.83,0.79,0.87,0.86,0.77,0.87,0.84,0.86,0.84,0.87,0.79,0.89,0.845333333,6.269127369,2.500789849
AconityMINIPrinterLarge_eq,0.95777027,0.956081081,0.954391892,0.959459459,0.95777027,0.956081081,0.960304054,0.954391892,0.961148649,0.959459459,0.959459459,0.958614865,0.960304054,0.951858108,0.964527027,0.961993243,0.960304054,0.947635135,0.960304054,0.961993243,0.967905405,0.956925676,0.964527027,0.94847973,0.956925676,0.962837838,0.958614865,0.965371622,0.953547297,0.969594595,0.958952703,56.53922176,5.697260833
AconityMINIPrinterSmall_eq,0.982876712,0.97260274,0.979452055,0.982876712,0.979452055,0.979452055,0.989726027,0.982876712,0.97260274,0.98630137,0.982876712,0.97260274,0.95890411,0.97260274,0.976027397,0.979452055,0.98630137,0.979452055,0.976027397,0.989726027,0.976027397,0.98630137,0.965753425,0.969178082,0.976027397,0.962328767,0.982876712,0.982876712,0.982876712,0.976027397,0.978082192,11.7858206,1.5240611
Adiac,0.854219949,0.826086957,0.797953964,0.820971867,0.833759591,0.815856777,0.833759591,0.826086957,0.803069054,0.805626598,0.805626598,0.792838875,0.826086957,0.803069054,0.826086957,0.826086957,0.818414322,0.787723785,0.803069054,0.820971867,0.803069054,0.833759591,0.833759591,0.800511509,0.813299233,0.828644501,0.810741688,0.815856777,0.83887468,0.805626598,0.817050298,4.541445541,1.021467924
AllGestureWiimoteX_eq,0.72,0.761428571,0.697142857,0.724285714,0.698571429,0.735714286,0.737142857,0.725714286,0.714285714,0.732857143,0.705714286,0.741428571,0.727142857,0.724285714,0.704285714,0.727142857,0.75,0.717142857,0.738571429,0.75,0.742857143,0.717142857,0.724285714,0.725714286,0.732857143,0.714285714,0.707142857,0.741428571,0.745714286,0.715714286,0.726666667,11.29032816,5.631680719
AllGestureWiimoteY_eq,0.731428571,0.747142857,0.771428571,0.797142857,0.737142857,0.765714286,0.742857143,0.764285714,0.755714286,0.761428571,0.777142857,0.764285714,0.754285714,0.772857143,0.758571429,0.782857143,0.745714286,0.732857143,0.762857143,0.752857143,0.741428571,0.762857143,0.784285714,0.757142857,0.757142857,0.782857143,0.738571429,0.785714286,0.775714286,0.764285714,0.760952381,10.50035186,5.185682774
AllGestureWiimoteZ_eq,0.701428571,0.7,0.721428571,0.71,0.69,0.705714286,0.738571429,0.735714286,0.698571429,0.704285714,0.707142857,0.68,0.718571429,0.7,0.705714286,0.707142857,0.72,0.71,0.724285714,0.724285714,0.732857143,0.734285714,0.74,0.744285714,0.691428571,0.745714286,0.725714286,0.712857143,0.747142857,0.677142857,0.715142857,11.48732181,5.804620147
ArrowHead,0.817142857,0.794285714,0.868571429,0.845714286,0.851428571,0.874285714,0.897142857,0.851428571,0.857142857,0.897142857,0.817142857,0.874285714,0.771428571,0.885714286,0.857142857,0.851428571,0.765714286,0.862857143,0.828571429,0.868571429,0.902857143,0.817142857,0.777142857,0.845714286,0.897142857,0.845714286,0.902857143,0.868571429,0.857142857,0.862857143,0.85047619,1.318966754,0.737139074
AsphaltObstaclesUni_eq,0.895140665,0.864450128,0.877237852,0.846547315,0.864450128,0.89769821,0.836317136,0.89258312,0.864450128,0.890025575,0.882352941,0.887468031,0.864450128,0.867007673,0.867007673,0.833759591,0.869565217,0.869565217,0.887468031,0.867007673,0.874680307,0.879795396,0.89769821,0.884910486,0.877237852,0.884910486,0.861892583,0.884910486,0.879795396,0.879795396,0.874339301,12.77939005,4.547274113
AsphaltPavementTypeUni_eq,0.935606061,0.934659091,0.945075758,0.944128788,0.945075758,0.947916667,0.941287879,0.949810606,0.946969697,0.948863636,0.946022727,0.93844697,0.950757576,0.931818182,0.945075758,0.934659091,0.942234848,0.93655303,0.950757576,0.935606061,0.945075758,0.954545455,0.935606061,0.93655303,0.934659091,0.930871212,0.934659091,0.943181818,0.934659091,0.947916667,0.941635101,60.86802689,37.48736168
